,listing,location,price,bedroom_num,bathroom_num,floor_area,land_size,longitude,latitude
1322,"Luxury 2 Bedroom Condo for Sale in Galleria Regency, Quezon City","Ugong Norte, Quezon City","15,000,000",2,2,107,,121.060872,14.59057866
1323,3BR including Maids Quarters Condominium 53 Benitez by Rockwell,"New Manila, Quezon City","9,500,000",3,3,63,,121.0306,14.61633
1324,"3 Bedroom Condominium in The Manors North Belton, Novaliches, Quezon City","Novaliches, Quezon City","2,200,000",3,1,49,,121.0179,14.68499
1325,"Grass Residences 2-Bedroom Unit for Sale, Quezon City","Santo Cristo, Quezon City","7,816,260",2,2,54,,121.028493,14.659988
1326,1 bedroom in Cubao - Amaia Skies Cubao,"Cubao, Quezon City","5,000,000",1,1,32,,121.0572,14.61777
1327,2 Bedroom Modern Condo at Centro Tower,"Kaunlaran, Quezon City","3,600,000",2,1,38,,121.0444084,14.61720497
1328,"Studio Condo for Sale in Blue Residences, Quezon City","Loyola Heights, Quezon City","3,500,000",1,1,23,,121.076504,14.640624
1329,Condo pasalo @ trees residences near sm fairview,"Pasong Putik Proper, Quezon City","2,744,660",2,1,30,,121.049634,14.721256
1330,For Sale Brightly Furnished Studio Unit Condo at Sun Residences nr UST in QC,"Santa Teresita, Quezon City","2,500,000",1,1,20,,121.0006017,14.6180256
1331,Xavier Hills 3 bedroom 2TB for only Php 6.5M for sale,"New Manila, Quezon City","6,500,000",3,2,81,,121.0306,14.61633
1332,Rent to Own Condominium in Quezon City 10K/month,"Kamuning, Quezon City","3,100,000",2,1,43,,121.0417858,14.6369414
1333,DMCI The Amaryllis 2 Bedroom Condo in Quezon City near Timog along E. Rod,"Mariana, Quezon City","5,785,000",2,1,57,,121.0304914,14.6236871
1334,"Fully furnished 30.39 sqm unit at Symphony Towers, Quezon City","South Triangle, Quezon City","3,900,000",1,1,30,,121.035979,14.637561
1335,"1 Bedroom Unit For Sale at Bright City Center Condominium, Quezon City","Immaculate Concepcion, Quezon City","2,800,000",1,1,30,,121.0462314,14.622828
1336,"1-Bedroom Unit (34sqm) for Sale in One Castilla Place (DMCI), Valencia, QC","Valencia, Quezon City","2,400,000",1,1,34,,121.0361368,14.6109081
1337,"Gilmore Tower condo for sale, bi-level 42 sqm fully furnished, move in ready","New Manila, Quezon City","3,600,000",1,1,42,,121.0360112,14.6120406
1338,"For Sale* 1BR with Balcony  at Olympic Heights, Eastwood City, Libis QC","Bagumbayan, Quezon City","3,800,000",1,1,55,,121.079066,14.6112207
1339,"1BR Condo for Sale in Manhattan Heights Tower B, Cubao, Quezon City - RS4470281","Cubao, Quezon City","4,360,000",1,2,45,,121.0427736,14.6204087
1340,"1-Bedroom Sun Residences Condo Unit For Sale in Santa Teresita, Quezon City","Santa Teresita, Quezon City","3,200,000",1,1,27,,121.0006017,14.6180256
1341,1BR Spacious Eastwood Condo for Sale w/ Parking,"Bagumbayan, Quezon City","5,500,000",1,2,57,,121.0803,14.61027
1342,"Grass Residences - Studio unit for sale in Quezon City,","Santo Cristo, Quezon City","3,360,000",1,1,23,,121.028493,14.659988
1343,2br Condominium (Fully Furnished) in Suntrust Asmara,"New Manila, Quezon City","4,000,000",2,1,41,,121.0206193,14.6211392
1344,"Deluxe 1 BR Condo Unit for Sale at Blue Residences, Quezon City","Loyola Heights, Quezon City","3,500,000",1,1,31,,121.076504,14.640624
1345,1 Bedroom Condominium Unit For Sale In SM Grass Quezon City,"Santo Cristo, Quezon City","2,500,000",1,1,24,,121.0285953,14.6602471
1346,For Sale: Rush Sale 2BR Condominium Accolade Place Cubao,"Kaunlaran, Quezon City","7,000,000",2,2,55,,121.04641,14.617893
1347,FOR SALE: SMDC MEZZA Residences Tower 1 (RUSH!!),"Doña Imelda, Quezon City","2,800,000",1,1,21,,121.0187923,14.606503
1348,"grass residences, 1 Bedroom Unit For Sale, Quezon City","Santo Cristo, Quezon City","2,400,000",1,1,24,,121.0285953,14.6602471
1349,Condominium in Quezon City,"Pasong Putik Proper, Quezon City","2,410,000",1,1,22,,121.049634,14.721256
1350,"Studio Condominium for sale in Eastwood LeGrand Tower 3, Quezon City","Eastwood City, Quezon City","3,800,000",1,1,30,,121.0817875,14.60814227
1351,1 Bedroom RFO Condo unit for sale in Quezon City near Tomas Morato,"Obrero, Quezon City","4,090,000",1,1,28,,121.0321549,14.6279757
1352,"Fully Furnished 1 Bedroom Unit For Sale at The Garden Heights, Quezon City","E. Rodriguez, Quezon City","2,000,000",1,1,28,,121.052143,14.627397
1353,Penthouse 2-Bedroom Condo Unit with Parking For Sale at Millionaire’s Suite,"Project 8, Quezon City","4,357,800",2,1,48,,121.0403977,14.6712344
1354,"1BR Condo for Sale in Eastwood Parkview, Eastwood City, Quezon City - RS4510581","Bagumbayan, Quezon City","3,499,999",1,1,38,,121.081903,14.605396
1355,"High Park, Vertis North Tower 2 studio unit for sale","Bagong Pag-Asa, Quezon City","8,000,000",1,1,32,,121.03781,14.650205
1356,"FOR SALE RUSH  in Sunny Villas Condominium, 1 bedroom,Venice Lane, Fairview","Novaliches, Quezon City","850,000",1,1,40,,121.0720527,14.7091599
1357,"2 Bedroom unit for sale at Dream Tower, Bagumbayan, Quezon City","Bagumbayan, Quezon City",,2,2,83,,121.0804738,14.6047713
1358,"For Sale One Bedroom with Balcony at Sun Residences Santa Teresita, Quezon City","Santa Teresita, Quezon City",,1,1,26,,121.0006017,14.6180256
1359,RFO Condominium For Sale in Quezon city.,"Panay Avenue, Quezon City","4,000,000",2,1,42,,121.0277698,14.6358202
1360,Fully Furnished Studio Unit Next to ABS CBN and EDSA,"Diliman, Quezon City","5,220,000",1,1,43,,121.0390747,14.6379845
1361,Studio type condo with balcony,"Bahay Toro, Quezon City","2,800,000",1,1,23,,121.0401313,14.6714895
1362,"One Bedroom Condominium for Sale in Avida New Manila, Quezon City","Bagong Lipunan Ng Crame, Quezon City","4,000,000",1,1,40,,121.052143,14.60929
1363,"2 bedroom condo rfo | the signature by filinvest | balintawak, qc","Pag-Ibig Sa Nayon, Quezon City","10,525,539",2,3,88,,120.9948166,14.6458137
1364,New Manila Quezon City 4 Bedroom,"Mariana, Quezon City","7,500,000",4,2,85,,121.0304914,14.6236871
1365,Studio Unit Condo for sale in Quezon City,"Phil-Am, Quezon City","4,200,000",1,1,28,,121.0327542,14.6511893
1366,The Redwoods 3 bedroom Fully Renovated Unit infront of SM Fairview,"Novaliches, Quezon City","6,995,000",3,2,82,,121.0614401,14.7359794
1367,Studio 1 bedroom Unit for sale Huge discount 1M ++--,"Batasan Hills, Quezon City","1,800,000",1,1,21,,121.096563,14.681641
1368,"Accolade Place 3 Bedroom, 2 T&B, Parking Slot, Laundry Cage for sale","Kaunlaran, Quezon City","10,900,000",3,2,104,,121.04641,14.617893
