Intercept,bedroom_num,floor_area,bathroom_num,city_mandal,city_manila,city_pasig,city_quezon,city_san_ju,city_taguig,VAR1,listing,location,price,type,city
1,1,26,1,0,0,0,0,0,0,2268,26sqm 1 bedroom condo unit with balcony for sale in air residences makati city,"san antonio, makati",7000000,condominium,makati
1,2,38,1,0,0,0,0,0,0,2269,brand new 2bedroom condo in makati 600k dp only to move in 30k/month rent to own,"san lorenzo, makati",6066000,condominium,makati
1,1,77,2,0,0,0,0,0,0,2270,"for sale 77 sqm 1 bedroom condo with wackwack and manila bayview, mandaluyong","san lorenzo, makati",10000000,condominium,makati
1,1,29,1,0,0,0,0,0,0,2271,"furnished studio @ one rockwell east tower, makati for sale for p8m","rockwell, makati",8000000,condominium,makati
1,1,46,1,0,0,0,0,0,0,2272,prime top 1 bedroom condominium unit for sale in makati city,"san antonio, makati",9549485,condominium,makati
1,1,32,1,0,0,0,0,0,0,2273,rent to own 1 bedroom condominium for sale in makati cbd,"san antonio, makati",7537000,condominium,makati
1,1,36,1,0,0,0,0,0,0,2274,move in ready! 36sqm 1br condo very near makati cbd and circuit makati,"san antonio, makati",3900000,condominium,makati
1,1,27,1,0,0,0,0,0,0,2275,for sale 1 bedroom condominium unit at smdc air residences in makati city,"san antonio, makati",6728000,condominium,makati
1,2,102,3,0,0,0,0,0,0,2276,condo for sale at the residences at greenbelt makati (trag),"san lorenzo, makati",37000000,condominium,makati
1,2,93,2,0,0,0,0,0,0,2278,condominium kroma makati brand new unit - 2br for sale,"san lorenzo, makati",22000000,condominium,makati
1,4,140,3,0,0,0,0,0,0,2279,4 bedroom penthouse in the heart of makati  condominium for sale at bsa mansion,"san lorenzo, makati",32000000,condominium,makati
1,4,481,4,0,0,0,0,0,0,2280,"4 parking penthouse condo for sale two roxas triangle paseo de roxas, makati","paseo de roxas, makati",257003000,condominium,makati
1,3,113,3,0,0,0,0,0,0,2281,makati city 3 bedroom unit 113 sqm for sale in callisto,"carmona, makati",26700000,condominium,makati
1,1,26,1,0,0,0,0,0,0,2282,for sale studio w/ balcony furnished ready for occupancy air residences makati,"san antonio, makati",6000000,condominium,makati
1,1,50,1,0,0,0,0,0,0,2283,new 1 bedroom condo unit for sale at eton tower makati for p9.8m,"legazpi village, makati",9800000,condominium,makati
1,1,68,1,0,0,0,0,0,0,2284,"condominium for sale: trag san lorenzo in san lorenzo, makati","san lorenzo, makati",21500000,condominium,makati
1,2,80,2,0,0,0,0,0,0,2285,80 sqm 2 bedroom condo unit for sale at solstice towers in circuit makati,"rockwell, makati",17000000,condominium,makati
1,2,44,2,0,0,0,0,0,0,2286,30k monthly rfo/rto transit-oriented 2br 48sqm condo for sale in makati city,"magallanes, makati",7732024,condominium,makati
1,1,30,1,0,0,0,0,0,0,2287,"for sale 30 sqm studio condo unit, the gentry residences salcedo village, makati","salcedo village, makati",7800000,condominium,makati
1,1,26,1,0,0,0,0,0,0,2288,"smdc air residences, 1 bedroom for sale","san antonio, makati",8183610,condominium,makati
1,4,410,6,0,0,0,0,0,0,2289,lower penthouse condo for sale in le triomphe (salcedo village) makati city,"bel-air, makati",65000000,condominium,makati
1,4,527,4,0,0,0,0,0,0,2290,"rare one roxas triangle (ort) penthouse unit for sale in paseo de roxas, makati","paseo de roxas, makati",175000000,condominium,makati
1,1,47,1,0,0,0,0,0,0,2291,"below market value: one bedroom unit for sale in the market, makati city!!","rockwell, makati",14000000,condominium,makati
1,2,44,2,0,0,0,0,0,0,2292,rush for sale  in makati city rent to own 2 bedroom condo in san lorenzo place,"san lorenzo, makati",7000000,condominium,makati
1,2,58,1,0,0,0,0,0,0,2293,"2-bedroom unit at cityland pasong tamo tower, makati","bangkal, makati",6300000,condominium,makati
1,2,38,1,0,0,0,0,0,0,2294,rent to own condo in makati 2br fast move in san lorenzo place nr moa naia3,"san lorenzo, makati",6060000,condominium,makati
1,3,166,3,0,0,0,0,0,0,2295,"for sale three bedroom, sakura tower at the proscenium rockwell center makati","poblacion, makati",56000000,condominium,makati
1,3,147,3,0,0,0,0,0,0,2296,"3 bedroom unit for sale in the proscenium residences rockwell, makati","rockwell, makati",43000000,condominium,makati
1,2,95,2,0,0,0,0,0,0,2297,2br condo for sale at makati city one legaspi park,"legazpi village, makati",22000000,condominium,makati
1,1,26,1,0,0,0,0,0,0,2298,rent to own condominium in makati! 1 bedroom unit ( san lorenzo place),"san lorenzo, makati",4000000,condominium,makati
1,1,36,1,0,0,0,0,0,0,2299,studio condominium unit for sale in salcedo skysuites makati,"salcedo village, makati",9926000,condominium,makati
1,2,78,2,0,0,0,0,0,0,2300,"for sale rfo 2 bedrooms lerato tower 3 including parking slot, makati","bel-air, makati",17500000,condominium,makati
1,1,84,1,0,0,0,0,0,0,2301,"park terraces 1 bedroom flex unit for sale located at san lorenzo, makati","san lorenzo, makati",28000000,condominium,makati
1,1,32,1,0,0,0,0,0,0,2302,"for sale furnished 1 bedroom condo unit at san lorenzo place, makati","san lorenzo, makati",4850000,condominium,makati
1,2,38,1,0,0,0,0,0,0,2303,condo for sale 2 br located at edsa cor makati magallanes for only 25k per month,"chino roces, makati",5900000,condominium,makati
1,1,39,1,0,0,0,0,0,0,2304,"for sale 1-br condominium in avida towers asten (corner unit), makati","san antonio, makati",8900000,condominium,makati
1,2,97,2,0,0,0,0,0,0,2305,"for sale one legazpi park 2 bedroom corner unit - legazpi village, makati","legazpi village, makati",25500000,condominium,makati
1,1,56,1,0,0,0,0,0,0,2306,kroma tower 1 bedroom for sale in makati,"san lorenzo, makati",11000000,condominium,makati
1,3,207,3,0,0,0,0,0,0,2307,"3br condo for sale with 2 parking, garden towers tower 2, ayala center in makati","san lorenzo, makati",68000000,condominium,makati
1,2,115,2,0,0,0,0,0,0,2308,"2 bedroom corner unit with balcony for sale in joya north tower, makati!","rockwell, makati",30000000,condominium,makati
1,2,89,3,0,0,0,0,0,0,2309,2 bedroom with 2 parking slots the proscenium residences at rockwell,"rockwell, makati",37000000,condominium,makati
1,1,26,1,0,0,0,0,0,0,2310,air residences 1bedroom 26 sqm in ayala makati for sale,"san antonio, makati",6500000,condominium,makati
1,3,207,3,0,0,0,0,0,0,2311,"3 bedroom condo unit for sale in garden towers tower 2, ayala center makati city","san lorenzo, makati",68000000,condominium,makati
1,2,75,2,0,0,0,0,0,0,2312,makati 2 bedroom unit with special payment terms near ayala avenue,"san antonio, makati",14500000,condominium,makati
1,1,30,1,0,0,0,0,0,0,2313,"studio unit for sale at the vion tower, chino roces, makati city","chino roces, makati",7632000,condominium,makati
