,listing,location,price,bedroom_num,bathroom_num,floor_area,longitude,latitude,city
35,"room for rent in malate, manila  near taft (dlsu, st. scho, pwu, pcu, adamson)","malate, manila",5500.0,1.0,1.0,12.0,121.0560385,14.5962746,manila
36,studio type apartment for rent (sampaloc. near espana manila. ust),"ermita, manila",9000.0,1.0,1.0,15.0,120.9825154,14.5860743,manila
37,"one bedroom apartment for rent in malate, manila, metro manila","malate, manila",28760.0,1.0,1.0,78.0,120.991585,14.570199,manila
38,studio type/ dormitory for rent at 505 residences,"san miguel, manila",17000.0,1.0,1.0,20.0,120.994802,14.597008,manila
39,residential or office space along legarda street and national teachers college,"quiapo, manila",10000.0,1.0,1.0,14.0,120.983,14.6,manila
40,studio type unit for rent in vito cruz manila,"santa cruz, manila",12000.0,1.0,1.0,25.0,121.0014,14.56843,manila
41,eisen mla apartel 200mbps  nr sm san lazaro tayuman lrt doh jose reyes hospital,"santa cruz, manila",780.0,1.0,1.0,12.0,120.984764,14.617888,manila
42,1 bed w/ table capacity room for rent,"santa mesa, manila",9000.0,1.0,1.0,9.0,121.017867,14.5971795,manila
43,"ladies bed space torre lorenzo for rent, room for rent manila, rentals manila","malate, manila",5000.0,2.0,1.0,40.0,120.991585,14.570199,manila
44,6 bedspace room in 1239 unistar bldg. t. san luis st. brgy. 847  pandacan manila,"pandacan, manila",3500.0,2.0,3.0,45.0,121.002798,14.590583,manila
45,"male bedspace at amaia skies avenida, sta. cruz, manila","santa cruz, manila",2500.0,1.0,1.0,18.0,120.984764,14.617888,manila
46,1 br. apartment for rent near st. scholastica and dlsu,"malate, manila",12400.0,1.0,1.0,30.0,120.991585,14.570199,manila
47,condo bedspace for rent at grand residences españa 2,"sampaloc, manila",5000.0,1.0,1.0,25.0,121.0560385,14.5962746,manila
48,room for rent - sta cruz manila,"santa cruz, manila",4500.0,1.0,1.0,25.0,120.98825305742,14.61618581638,manila
49,"room for rent along sampaloc, manila !!! junior suite - 25 sqm (good for 4 pax)","sampaloc, manila",17800.0,1.0,2.0,25.0,120.9910109,14.60708718,manila
50,for rent 150sqm two bedroom residential apartment in manila,"sampaloc, manila",40000.0,2.0,2.0,150.0,120.996236,14.61103,manila
51,brand new condo at the silk residences manila for sharing,"santa mesa, manila",24000.0,1.0,1.0,21.0,121.0117496,14.6030108,manila
52,fully furnished room for rent,"sampaloc, manila",15000.0,1.0,1.0,18.0,120.9916,14.61221,manila
53,bedspace available for working ladies in malate quirino train station,"malate, manila",3200.0,2.0,2.0,70.0,120.991585,14.570199,manila
54,studio daily in sta cruz manila 200mbps wifi apartment for rent,"santa cruz, manila",12500.0,1.0,1.0,14.0,120.984764,14.617888,manila
55,female bedspacer in manila,"malate, manila",4800.0,2.0,1.0,8.0,120.991585,14.570199,manila
